OBJECTID,ZIPCODE,PO_NAME,POPULATION,AREA,COUNTY,CountBusinesses,Shape_Length,Shape_Area
1,11213,Brooklyn,62426.000000000000000,29631004.437938999384642,Kings,2,23899.441489159191406,29631004.422306653112173
2,11212,Brooklyn,83866.000000000000000,41972104.071419797837734,Kings,1,26621.841593054054101,41972103.903836019337177
3,11225,Brooklyn,56527.000000000000000,23698630.124925199896097,Kings,4,23346.077842464412242,23698630.813254244625568
4,11218,Brooklyn,72280.000000000000000,36868798.989756196737289,Kings,3,30622.766835024336615,36868799.672974243760109
5,11226,Brooklyn,106132.000000000000000,39408598.279011696577072,Kings,2,28635.807483142169076,39408598.114610195159912
6,11210,Brooklyn,67067.000000000000000,47887022.992160402238369,Kings,1,29974.871427041594870,47887022.799622863531113
7,11230,Brooklyn,80857.000000000000000,49926703.393317200243473,Kings,1,31794.695249222470011,49926703.544506348669529
8,10467,Bronx,97932.000000000000000,69336166.372634097933769,Bronx,1,43944.749779284436954,69336166.813749507069588
9,10463,Bronx,70641.000000000000000,36703381.508167296648026,Bronx,3,47484.993682904532761,36703381.389525637030602
10,10464,Bronx,4438.000000000000000,76257484.899848192930222,Bronx,1,95375.545519794875872,76257485.310012400150299
11,10463,Bronx,70641.000000000000000,3119701.913220869842917,New York,3,7791.517987313101912,3119701.972092138603330
12,10458,Bronx,79362.000000000000000,35968812.903363101184368,Bronx,3,29391.280932183726691,35968813.006842665374279
13,10034,New York,39149.000000000000000,24503892.122011501342058,New York,11,28233.755984276842355,24503892.440556924790144
14,10033,New York,54284.000000000000000,16156054.171925600618124,New York,2,29415.607739295661304,16156054.073140919208527
15,10462,Bronx,75674.000000000000000,53022513.776470996439457,Bronx,1,49496.065720625410904,53022513.256557837128639
16,10040,New York,41033.000000000000000,16340742.795196700841188,New York,2,24554.784464430889784,16340742.488188935443759
17,10465,Bronx,42012.000000000000000,108423743.438241004943848,Bronx,1,96349.474738558565150,108423743.169717997312546
18,10464,Bronx,4438.000000000000000,4512530.576592319644988,Bronx,1,14922.292408637618792,4512530.455726820975542
19,10464,Bronx,4438.000000000000000,11587953.826739000156522,Bronx,1,26773.635978167767462,11587953.950155861675739
20,10461,Bronx,50549.000000000000000,62824057.574527800083160,Bronx,1,35943.349935438120156,62824057.454848051071167
21,10457,Bronx,70253.000000000000000,37640607.379319898784161,Bronx,1,29927.275097854570049,37640606.983700506389141
22,10032,New York,57606.000000000000000,23159566.092342898249626,New York,2,31657.925765279920597,23159566.149571284651756
23,10452,Bronx,76104.000000000000000,27550385.853312700986862,Bronx,2,24379.370476945328846,27550385.995269116014242
