,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price,rev1,rev2,rev3,hours
0,nHkx9DkPdt8kY6lXWOrXzQ,the-points-les-new-york,The Points LES,https://s3-media1.fl.yelpcdn.com/bphoto/IwEq7fTDGgLEm58X3lTzhA/o.jpg,False,https://www.yelp.com/biz/the-points-les-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,2,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 40.71725, 'longitude': -73.99329}",[],"{'address1': '76A Forsyth St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['76A Forsyth St', 'New York, NY 10002']}",+16463305222,(646) 330-5222,651.2628400219759,,"Super amazing spot. The drinks were great, the food was delicious, and the bartenders and the chefs and the owner were engaging and made you feel at...","Love this place. It's tucked away in the LES, totally inconspicuous, but you get inside and it's a party. I've dropped by plenty of nights for a beer or...",No Review,"[{'open': [{'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
1,YvUzv_3yrkarui6r8nwldQ,club-room-at-soho-grand-new-york-2,Club Room at Soho Grand,https://s3-media1.fl.yelpcdn.com/bphoto/lgyO4s2rMgUOigeSkoG2qQ/o.jpg,False,https://www.yelp.com/biz/club-room-at-soho-grand-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,9,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.7220519, 'longitude': -74.0045064}",[],"{'address1': '310 W Broadway', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['310 W Broadway', 'New York, NY 10013']}",+12129653588,(212) 965-3588,1708.7505192488243,$$$,"Beautiful sofa-lounge area. Great speakeasy spot and good service. Romantic feel, with softly dimmed lights. Their wine selection is amazing and their...","It's not the Grand Bar, which is the more traditionally set up bar upstairs at the Soho Grand Hotel. It's the dim, intimate lounge on the left at the top of...","Call me a sucker, but I love this place -- especially when a friend picks up the tab. ;) It's true that the drink prices are a little ridiculous so for me,...","[{'open': [{'is_overnight': False, 'start': '1830', 'end': '2100', 'day': 3}, {'is_overnight': True, 'start': '2200', 'end': '0300', 'day': 3}, {'is_overnight': False, 'start': '1830', 'end': '2100', 'day': 4}, {'is_overnight': True, 'start': '2200', 'end': '0300', 'day': 4}, {'is_overnight': False, 'start': '1830', 'end': '2100', 'day': 5}, {'is_overnight': True, 'start': '2200', 'end': '0300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
2,PwPzF-b_XibKklorTZ57OA,nuyorican-poets-cafe-new-york,Nuyorican Poets Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/R8zBT9NHFj5v3NRbYVNyaw/o.jpg,False,https://www.yelp.com/biz/nuyorican-poets-cafe-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,260,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'theater', 'title': 'Performing Arts'}]",4.0,"{'latitude': 40.72194, 'longitude': -73.98183}",[],"{'address1': '236 E 3rd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['236 E 3rd St', 'New York, NY 10009']}",+12125058183,(212) 505-8183,666.9095066022979,$,"Been coming here for years!

If you are in the mood for spoken word, good vibes and great poetry- this is the place to be! If you can remember ""Def Poetry...","The Nuyorican Poets Cafe is a staple for me. For as long as I can remember I have been going to the Nuyorican Poets Cafe for poetry slams. However, my...","Love this spot! This is a really wonderful place to feel like part of a community. 

We saw the Haunting of Lin-Manuel Miranda here a few days after seeing...","[{'open': [{'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 0}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
3,IYR-jmboN66jRDPRKw0eqw,mister-paradise-new-york,Mister Paradise,https://s3-media2.fl.yelpcdn.com/bphoto/scMpk8hRNLyTKoDyP7aHEQ/o.jpg,False,https://www.yelp.com/biz/mister-paradise-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,39,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.72676, 'longitude': -73.98617}","['delivery', 'pickup']","{'address1': '105 1st Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['105 1st Ave', 'New York, NY 10003']}",,,1130.8379911762252,,"STAY AT HOME, EVERYONE. FLATTEN THE CURVE!!!

This place is... special. Very art deco, big ass booths stuffed with beautiful young people. And if you just...","I'll say it: I can call a hit from a mile away. If you know me in vivo, you'll know I'm not confident about many things or at least do not present as such....","Without calling prior, I came into Mister Paradise for what I thought would be a rather small birthday celebration with some friends. One of the staff...","[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0300', 'day': 4}, {'is_overnight': True, 'start': '1400', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '1400', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
4,JB7jD7Kvg1GoaP9zYUZ4GA,cookies-and-booze-part-ix-new-york,Cookies & Booze Part IX,https://s3-media1.fl.yelpcdn.com/bphoto/zCk24pTY0kt3qwwEyzkDlw/o.jpg,False,https://www.yelp.com/biz/cookies-and-booze-part-ix-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,2,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",5.0,"{'latitude': 40.7241934721163, 'longitude': -73.9878129959106}",[],"{'address1': 'Dba 1st Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['Dba 1st Ave', 'New York, NY 10010']}",,,863.4085278337907,,"What could be more appropriate than a bourbon tasting (unbeknownst to me or Cara when we planned the event) at our Cookies & Booze No. 9?

I arrived at the...","Another great Cookies & Booze event by the Delicious Duo: Lisa & Cara.

Great delectable treats as always, and the bartender actually made a pretty good...",No Review,
5,7qs5v182p5SnxmGgffkhLw,azul-rooftop-new-york,Azul Rooftop,https://s3-media3.fl.yelpcdn.com/bphoto/j3CTRYFQxUYYww8jzj8pQg/o.jpg,False,https://www.yelp.com/biz/azul-rooftop-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,41,"[{'alias': 'lounges', 'title': 'Lounges'}]",3.0,"{'latitude': 40.726368, 'longitude': -74.0088425}",[],"{'address1': '525 Greenwich St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['525 Greenwich St', 'New York, NY 10013']}",+12126084848,(212) 608-4848,2243.9536955609124,$$$,"Great views and cozy feel - tucked away on the west side. The drinks are tasty (got the El Sabor and Havana Whiskey), but the price point is really for the...",Stayed at Hotel Hugo based on a prior experience we had and enjoyed at the roof top bar. However this weekend when we returned the bar experience was sub...,"So excited when I found out there was a rooftop by my job! I couldn't wait to try it. However, I was a little disappointed compared to other rooftops in...","[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,AQwNkV0yKpheq2eH81BESg,dream-baby-new-york-2,Dream Baby,https://s3-media2.fl.yelpcdn.com/bphoto/JS5DlDxp2TByg8DiD7jMgg/o.jpg,False,https://www.yelp.com/biz/dream-baby-new-york-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,117,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.72705, 'longitude': -73.97992}",[],"{'address1': '162 Avenue B', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10009', 'country': 'US', 'state': 'NY', 'display_address': ['162 Avenue B', 'New York, NY 10009']}",+16468073754,(646) 807-3754,1263.189028191695,$$,"I had my 25th birthday here earlier this month and it was everything I hoped it'd be. No cake cutting fee, no fuss. Maria helped me reserve the big booth on...",This bar makes me feel like I'm roughly 85 years old. Came by around midnightish on a Friday and we waited briefly in line because the bar was at capacity....,Great playlist and an overall great bar environment but the amount of broken glass on the ground is a serious safety hazard. We all left with several shards...,"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
7,9Ke2V1SJVOPyr4z3Bj4_IQ,sky-55-bar-and-grill-new-york,Sky 55 Bar & Grill,https://s3-media1.fl.yelpcdn.com/bphoto/ZVWBclu1Jf6a7bmljVQeMg/o.jpg,False,https://www.yelp.com/biz/sky-55-bar-and-grill-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,19,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 40.703234, 'longitude': -74.008687}",[],"{'address1': '55 Water St', 'address2': 'Fl 3', 'address3': '', 'city': 'New York', 'zip_code': '10041', 'country': 'US', 'state': 'NY', 'display_address': ['55 Water St', 'Fl 3', 'New York, NY 10041']}",+16465906556,(646) 590-6556,2454.2317351361253,$$,"Came here for lunch with coworkers. 

First of all..thumbs up to our server Maurice for taking such great care of us. From making us laugh, to being so...","Had lunch at Sky 55 Bar & Grill on Tuesday afternoon. I was not impressed by the food, the prices, or the service.

Quality: We started our lunch by sharing...","Fun spot hovering over the east river in the financial district.  With the weather nice, my visiting friend from Baltimore asked to check out an outdoor...","[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,DggqVM54aBZG4XMmUCY2Og,rabbit-house-new-york-3,Rabbit House,https://s3-media3.fl.yelpcdn.com/bphoto/8OgJ6xACNwuT_t9pI8m66w/o.jpg,False,https://www.yelp.com/biz/rabbit-house-new-york-3?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,19,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 40.71626, 'longitude': -73.98955}",[],"{'address1': '41 Essex St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['41 Essex St', 'New York, NY 10002']}",+16464484022,(646) 448-4022,347.50051783742435,$$$,"What a hidden gem. I came for the six course omakase meal (prepared and served by Chef Yoshiko), and I was highly impressed with every dish. 

Each course...","We made a reservation ahead of time, and came here for my birthday. I must say, every single dish was full of surprises, and every bite was a new...",I got to try Chef Yoshiko's six-course omakase menu on a Puls'd voucher: $99 for two people including a bottle of wine or sake. Considering that the...,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
9,a8CdwY4uFIP4nXkl4V5EEg,little-branch-new-york,Little Branch,https://s3-media1.fl.yelpcdn.com/bphoto/-CPnCXUtABFK7iG-uStxyA/o.jpg,False,https://www.yelp.com/biz/little-branch-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,1033,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.0,"{'latitude': 40.73013, 'longitude': -74.005046}",[],"{'address1': '22 7th Ave S', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10014', 'country': 'US', 'state': 'NY', 'display_address': ['22 7th Ave S', 'New York, NY 10014']}",+12129294360,(212) 929-4360,2226.7441809979387,$$$,Little hipster spot with jazz (at least on Sunday night) and bartenders with mad skills.  We waited for a bit outside the non descriptive door until they...,I have been a customer for years with it being a favorite date spot once the night is winding down. My last visit wasn't great but I figured everyone has an...,"Great cocktail bar with cinematic lighting that will make anything feel romantic and otherworldly. If well-done cocktails, metal straws, and giving a smooch...","[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1500', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
