,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3
0,oKyaFgtufB9nrga_mSZH8g,steinway-cafe-billiards-astoria,Steinway Cafe-Billiards,https://s3-media1.fl.yelpcdn.com/bphoto/hBizdaooohyBUMlVYKw5MQ/o.jpg,False,https://www.yelp.com/biz/steinway-cafe-billiards-astoria?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,65,"[{'alias': 'poolhalls', 'title': 'Pool Halls'}]",3.5,"{'latitude': 40.754271, 'longitude': -73.922236}",[],$$,"{'address1': '3525 Steinway St', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11102', 'country': 'US', 'state': 'NY', 'display_address': ['3525 Steinway St', 'Astoria, NY 11102']}",+17184722124,(718) 472-2124,3060.6155802878425,"There's a full bar-- 27 pool tables-- restaurant seating, bar seating, Railbird seating facing pool tables for those who wanna watch good pool. Steinway...",I was not really impressed with this place. I dont play much pool anymore but my brother is semi-pro and was visiting from Miami. He wanted to come here. It...,Steinway is ok. Tables are in decent shape but they charge 15 per hour for the table NOT 12 as they claim in the front counter.
1,-OplSkpDk33uikS5fO-JQw,addictive-wine-and-tapas-bar-jackson-heights-4,Addictive Wine and Tapas Bar,https://s3-media3.fl.yelpcdn.com/bphoto/lsZ7sYek4idwKtcI6g097g/o.jpg,False,https://www.yelp.com/biz/addictive-wine-and-tapas-bar-jackson-heights-4?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,199,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 40.75632, 'longitude': -73.8806}",[],$$,"{'address1': '87-01 Northern Blvd', 'address2': None, 'address3': '', 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['87-01 Northern Blvd', 'Jackson Heights, NY 11372']}",+13478320951,(347) 832-0951,3351.521649926515,"Yes COME HERE. 
Please this review  had been long over due! 
The pulpo, chorizo, the tapas the wine!!!!!! The selection  is amazing and please ask for...","Came here on a Sunday afternoon for a quick bite and drinks, beautiful place, I feel like it has so much potential. 

Felt very disappointed with the food...","Came here across the street after wine tasting, for more wine and snacks. Owner and the staff was great. Sat us down as soon as we got in. It was super..."
2,jW22gmsZjh5hFJsC1qUDOA,the-baroness-bar-burgers-beer-long-island-city,The Baroness Bar Burgers + Beer,https://s3-media2.fl.yelpcdn.com/bphoto/K29B1Q_brq_lm5UMgp2CcQ/o.jpg,False,https://www.yelp.com/biz/the-baroness-bar-burgers-beer-long-island-city?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,401,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,"{'latitude': 40.75169, 'longitude': -73.93992}",[],$$,"{'address1': '41-26 Crescent St', 'address2': None, 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['41-26 Crescent St', 'Long Island City, NY 11101']}",+13476818207,(347) 681-8207,4145.066076191495,"The Baroness is a saint of a burger slinging Queen. Anyone who says otherwise is just wrong. Never had a bad burger in 3 years, sides are incomparable and...","My first instinct was to give Baroness 1 star solely to provoke a response from the shit talking owner, but the reality is that I love this place.

The...","UPDATE:
Honestly, I did find myself a bit detached from Baroness after seeing the questionable response from ""Ess H."" But to be fair to the staff that I'm..."
3,UT80Rcfm9QwgddkKfmItRw,la-gran-uruguaya-restaurant-jackson-heights-2,La Gran Uruguaya Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/SGL08wMF4nC8vMAlxzdhlA/o.jpg,False,https://www.yelp.com/biz/la-gran-uruguaya-restaurant-jackson-heights-2?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,24,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.5,"{'latitude': 40.7500268115557, 'longitude': -73.8813500049598}","['pickup', 'delivery']",$$,"{'address1': '85-02 37th Ave', 'address2': '', 'address3': '', 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['85-02 37th Ave', 'Jackson Heights, NY 11372']}",+17185050400,(718) 505-0400,3869.1181591381937,My first few times here even though I didn't actually go there. They do deliver for a fee but it was worth the fee. I believe I ordered thru Seamless....,Found this place by googling. Decided to come for my mother's b-day. The food was delicious and they served a lot. For the price it was worth it. The waiter...,"I haven't come here for a full meal or for drinks, but the baked goods fulfill the cravings instilled in me from visiting Buenos Aires, even if the..."
4,RJYWxDoDSqOYh1HbvF9qsA,the-strand-smokehouse-astoria-4,The Strand Smokehouse,https://s3-media2.fl.yelpcdn.com/bphoto/cKnk5fk3KRVkGEUiTQP2Bw/o.jpg,False,https://www.yelp.com/biz/the-strand-smokehouse-astoria-4?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,795,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'bars', 'title': 'Bars'}]",3.5,"{'latitude': 40.763072, 'longitude': -73.9273962}",[],$$,"{'address1': '25-27 Broadway', 'address2': '', 'address3': None, 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['25-27 Broadway', 'Astoria, NY 11106']}",+17184403231,(718) 440-3231,2500.8624356736227,I really wanted to like this place after hearing so many good things. My boyfriend and I decided to try this place out last night instead of our usual...,"Looking for BBQ? They have it! Decent music!? On the fence, however you still showed up for the BBQ! If you aren't really into BBQ, this is the place for...","Five stars for service, four stars for food. 

Was with a friend and her dog, searched for outdoor seating and found this place. Had actually walked by a..."
5,3iegS9M-EMbkhaPV2rsovg,bistro-casa-azul-new-york,Bistro Casa Azul,https://s3-media2.fl.yelpcdn.com/bphoto/J4KfEgQbUZHKjsv46p9FNw/o.jpg,False,https://www.yelp.com/biz/bistro-casa-azul-new-york?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,34,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,"{'latitude': 40.79659, 'longitude': -73.93229}",[],,"{'address1': '343 Pleasant Ave', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['343 Pleasant Ave', 'New York, NY 10035']}",+19178050803,(917) 805-0803,2912.34754494335,There are amazing ! Best margarita in town! Wonderful shrimp tacos and great tres leches! Wonderful service!,"*CASH ONLY*

We went here for my boyfriend's birthday dinner - it looked like a quaint yet modern Mexican restaurant, and it's walking distance from our...","SO GOOD. I live in the neighborhood and have been meaning to try this place for the longest time. So glad I did. The decor, the music, the service, wine and..."
6,Jw6nTaia5rdxefvg5tQ9uQ,el-maguey-mexican-restaurant-jackson-heights,El Maguey Mexican Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/tHQlrLleohP8egsa_6Ua2g/o.jpg,False,https://www.yelp.com/biz/el-maguey-mexican-restaurant-jackson-heights?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,59,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'hookah_bars', 'title': 'Hookah Bars'}]",3.5,"{'latitude': 40.7555523, 'longitude': -73.8840807}","['pickup', 'delivery']",$$,"{'address1': '83-28 Northern Blvd', 'address2': '', 'address3': None, 'city': 'Jackson Heights', 'zip_code': '11372', 'country': 'US', 'state': 'NY', 'display_address': ['83-28 Northern Blvd', 'Jackson Heights, NY 11372']}",+19295220562,(929) 522-0562,3251.7409896846584,I've been here 3 times with my girlfriend and I must say that each time was as good as the last. Food is really good. The ambience is your traditional...,"THEY TIP THEMSELVES 20% WITHOUT your authorization. The service was a bit slow, food was good, the waitress took forever at the end to give us our check....",Came in around 7 and was immediatley welcomed and explained the drink deals. We got margarita pitchers and hookah and all of it was really good. Very...
7,njDA4ALbcnjLloNC_y0E9w,gantry-bar-and-kitchen-long-island-city,Gantry Bar & Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/YBya1k9Qh4h80jYNNhT04Q/o.jpg,False,https://www.yelp.com/biz/gantry-bar-and-kitchen-long-island-city?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,133,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.5,"{'latitude': 40.7453953419365, 'longitude': -73.9532279223204}","['pickup', 'delivery']",$$,"{'address1': '47-02 Vernon Blvd', 'address2': '', 'address3': '', 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['47-02 Vernon Blvd', 'Long Island City, NY 11101']}",+17187376309,(718) 737-6309,5430.670931998427,"I've been here for brunch a few times, and have always been happy with my experience, so I figured I'd show so love.

The space itself isn't huge, and it...","Love this little cozy bar . They have appetizing sandwich options such as buttermilk fried chicken , burger , grilled chicken , etc. this place has taco...","Looking for a non-crowded spot for a beer and a snack, finally found a spot that wasn't too packed on a Thursday night. Simple bar showing a bunch of games..."
8,bbAYf0ly9GZGPVPDKehLFg,capellis-cafe-corona,Capelli's Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/lAB0Ly9XvHKZ7RxbSk04NQ/o.jpg,False,https://www.yelp.com/biz/capellis-cafe-corona?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,8,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.0,"{'latitude': 40.757876, 'longitude': -73.8614417}","['pickup', 'delivery']",$$,"{'address1': '107-11 Northern Blvd', 'address2': '', 'address3': '', 'city': 'Corona', 'zip_code': '11368', 'country': 'US', 'state': 'NY', 'display_address': ['107-11 Northern Blvd', 'Corona, NY 11368']}",+19292966557,(929) 296-6557,4474.387695789347,Going by food and dj this place is a hit. Food is delicious.  Best churrasco around. Rib eye full of flavor. Best yuca fries you will ever have. Merengue on...,Stay away from this place very dangerous people go here ! There was a shooting a month ago. Warning,I ended up here with some friends last minute after a concert once inside I thought the place looked familiar not so much the name? I believe this is where...
9,a2WbaTMwZC66laTFv_yY0A,la-kuchara-east-elmhurst,La Kuchara,https://s3-media3.fl.yelpcdn.com/bphoto/Zy3GqrbpzphZUnB5bIWKKg/o.jpg,False,https://www.yelp.com/biz/la-kuchara-east-elmhurst?adjust_creative=xC4n-h7ZGIsND4SXpQ_Fzg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xC4n-h7ZGIsND4SXpQ_Fzg,16,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.5,"{'latitude': 40.76074, 'longitude': -73.87325}","['pickup', 'delivery']",$$,"{'address1': '9507 31st Ave Elmurst', 'address2': '', 'address3': None, 'city': 'East Elmhurst', 'zip_code': '11369', 'country': 'US', 'state': 'NY', 'display_address': ['9507 31st Ave Elmurst', 'East Elmhurst, NY 11369']}",+13477386759,(347) 738-6759,3481.1158313609226,We visit La Kuchara on a weekly basis! Hands down this place has the best encebollado. We've been to this place since they first opened and their food never...,"The Best Encebollado in New York City. Everything on the menu is great! Decent prices, attentive staff, all around good vibes!","My family and I went to this restaurant this past weekend to celebrate a birthday. Three of us shared the bolon mixto, which was very cold, but we decided..."
