,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,rev1,rev2,rev3,hours
0,hcxdYdqMiuFVPYza3DEkdQ,claras-brooklyn,Clara's,https://s3-media2.fl.yelpcdn.com/bphoto/p1ZkahWznhdI2NYgeo7BJg/o.jpg,False,https://www.yelp.com/biz/claras-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,107,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 40.702664, 'longitude': -73.92863}","['pickup', 'delivery']",$$,"{'address1': '53 Wilson Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11237', 'country': 'US', 'state': 'NY', 'display_address': ['53 Wilson Ave', 'Brooklyn, NY 11237']}",+13472951338,(347) 295-1338,864.781648851128,"Claras is a great sports bar bringing great traditional bar food. 

Go on a game night to watch your game on a large projector screen. Go during happy hour...","Food is delicious. I'm addicted to the buffalo chicken mac n cheese. And I'm a big fan of the fried chicken sandwich. 

I want to try the lobster mac n...",Paid $50 for delivery food which included a delivery fee. Never got it. Restaurant blamed seamless but very young person on other end of phone at Clara's...,"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
1,k8iVVuYic-fCgmzzfDkGNA,moloko-bedford-stuyvesant-4,Moloko,https://s3-media1.fl.yelpcdn.com/bphoto/X4wZgPwHOEW8ptsEBzNhEw/o.jpg,False,https://www.yelp.com/biz/moloko-bedford-stuyvesant-4?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,168,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",4.5,"{'latitude': 40.6949690078622, 'longitude': -73.954842}",[],$$,"{'address1': '705 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Bedford-Stuyvesant', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['705 Myrtle Ave', 'Bedford-Stuyvesant, NY 11205']}",+17188558927,(718) 855-8927,3210.8699908634107,"There are literally no restaurants around these parts, needless to say I was a skeptic from the good reviews. 

Came here Saturday night and didn't have to...","Very Bad service! 
 Bartender ordered wrong food and didn't even apologize. I got my drink when I already have finished the food . Also when we sat down I...","Chill vibe, gray date night spot, but substandard fish and chips.  This place has been on my list for some time. The reviews looked super promising, but the...","[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1200', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1200', 'end': '0100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
2,iSr36HYfNRXvMhjhvP77vA,archies-bar-and-pizza-brooklyn,Archie's Bar & Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/ol7C48_00aZzHXGAbv4Qgw/o.jpg,False,https://www.yelp.com/biz/archies-bar-and-pizza-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,344,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 40.699705, 'longitude': -73.928512}","['pickup', 'delivery']",$$,"{'address1': '128 Central Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['128 Central Ave', 'Brooklyn, NY 11221']}",+13479152244,(347) 915-2244,943.8664522351296,"I FORGOT TO ORDER A SIDE OF SPICY HONEY 

This is a classic mistake, please remember to order it. It's worth every penny and it makes the pizza taste THAT...","This pizza is good for days... when I get it delivered I get two large pizzas for two of us. We eat it for dinner, breakfast, lunch and dinner. Pepperonis...","I know it's a Yelp cliche to start off your review ""If I could give 0 stars I would"" but this is definitely a 0 star moment! 

I placed an order for at...","[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0400', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
3,Vs5yyxnkokrVkP0q8UOtAw,petra-bar-and-restaurant-brooklyn,Petra Bar & Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/t7fvbMgJnVefJcQUTAf8SQ/o.jpg,False,https://www.yelp.com/biz/petra-bar-and-restaurant-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,31,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",5.0,"{'latitude': 40.69046, 'longitude': -73.91544}","['pickup', 'delivery']",$$,"{'address1': '523 Evergreen Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11221', 'country': 'US', 'state': 'NY', 'display_address': ['523 Evergreen Ave', 'Brooklyn, NY 11221']}",+17186760926,(718) 676-0926,1459.5220575099006,"One of the few places that I can walk to in my hood, and I love them! Henry is doing so much for the community, and I love what he does. The food here is...","To be honest, I've been here twice. The first time I came solo, sat at the bar, and had kind of a lowsy bored time. It's not the kind of place you go to...","Great atmosphere, as soon as we walked in I liked the vibe. Ordered house wine, hummus, eggplant and chicken shawarma. All the food was outstanding, the...","[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
4,iQq4-DZDD-pwhOMXRK3j6A,carneval-brooklyn,Carneval,https://s3-media1.fl.yelpcdn.com/bphoto/LXmVf7P-AZ18c_j5Gm7okg/o.jpg,False,https://www.yelp.com/biz/carneval-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,41,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.711198, 'longitude': -73.950864}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '507 Grand St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['507 Grand St', 'Brooklyn, NY 11211']}",+13477213193,(347) 721-3193,2862.785272269079,"We dined at Carneval a week ago, and are still raving about it, even recommending it to all of our friends. 

The service was excellent, the food even...",I went to holiday party on a Friday night with a coworker. The salsa and merengue music is blasting. People are dancing. Loud and happy conversations are...,Came here for Valentine's Day because I really liked the menu and I've been meaning to try it for a while now but they had a special Valentine's Day menu...,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
5,OhfQPmvbkLoEYJGDpJ7bSw,casablanca-cocktail-lounge-brooklyn,Casablanca Cocktail Lounge,https://s3-media1.fl.yelpcdn.com/bphoto/9hswWY5SFFVINQB9fX-UQg/o.jpg,False,https://www.yelp.com/biz/casablanca-cocktail-lounge-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,126,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.6826777021563, 'longitude': -73.9291463344934}",[],$$,"{'address1': '300 Malcolm X Blvd', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11233', 'country': 'US', 'state': 'NY', 'display_address': ['300 Malcolm X Blvd', 'Brooklyn, NY 11233']}",,,2476.6795218157044,Stepped in this spot on the late late night tip (probably 2:30 am) on a Friday already probably wasted if we're being honest here. My impression was that...,"It was a Dark N Stormy night.  

No but seriously, it's dark and stormy outside.  

Waiting for my friend and decided to enjoy a cocktail. 

Ambiance is...","Only giving them 4 stars because they are cash only, and of course I didn't have much cash on me.  but THIS is the Friday night turn up! The djs were great,...","[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0130', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0130', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0230', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0330', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0330', 'day': 5}, {'is_overnight': True, 'start': '1600', 'end': '0130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
6,mjf8phnWxMgFBktUZ1zwuw,loveras-2843-lounge-new-york,Loveras 2843 Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/PYHpQ1tVKvGWWBSCtEhpJw/o.jpg,False,https://www.yelp.com/biz/loveras-2843-lounge-new-york?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,1,"[{'alias': 'lounges', 'title': 'Lounges'}]",2.0,"{'latitude': 40.6792400989066, 'longitude': -73.8860379159451}",[],$$,"{'address1': '2942-2944 Fulton St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['2942-2944 Fulton St', 'New York, NY 11207']}",,,3831.199520063718,I came here for a graduation celebration. This hookah lounge is very pretty. The seats and the place is very elegant and the hookah is good. However this is...,No Review,No Review,"[{'open': [{'is_overnight': True, 'start': '2200', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '2200', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '2200', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '2200', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
7,71HLFDV5yIX8l7WqP7Km5g,westlight-brooklyn,Westlight,https://s3-media2.fl.yelpcdn.com/bphoto/lzri0sGYecEv2Bsnhf-lkg/o.jpg,False,https://www.yelp.com/biz/westlight-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,481,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",3.5,"{'latitude': 40.722299, 'longitude': -73.956691}",[],$$$,"{'address1': '111 N 12th St', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11249', 'country': 'US', 'state': 'NY', 'display_address': ['111 N 12th St', 'Brooklyn, NY 11249']}",+17183077100,(718) 307-7100,3849.102502316003,"This place can get very busy before sunset. You can get a table inside (wait or reservation), or order at the bar and sneak outside for that instagram...","Decided to spend the Saturday shopping in Williamsburg and heard amazing things about this rooftop bar.
The William Vale hotel is beautiful, when you go...","Pretty sweet and swank spot in Williamsburg.  Pricey, as you would expect from a Brooklyn hotel rooftop bar with epic views, but when you pop in and it is...","[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
8,56no_OUGjfBV0ifQAwOMLg,broken-land-brooklyn,Broken Land,https://s3-media1.fl.yelpcdn.com/bphoto/rjkZ_IdG0z6brQvOjrPCBw/o.jpg,False,https://www.yelp.com/biz/broken-land-brooklyn?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,74,"[{'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.729515, 'longitude': -73.957791}",[],$$,"{'address1': '105 Franklin St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['105 Franklin St', 'Brooklyn, NY 11222']}",+17183492901,(718) 349-2901,4408.516809943203,"Love this spot! We've been coming here for over a year now quite frequently and it's become our go-to spot. Great relaxed atmosphere, friendly bartenders....",Perfect patio for a group of friends! Decent drinks and comfortable atmosphere. Like hanging out in your own backyard.,"All i can say is .. IT'S SNOWING UP IN HERE. (Every POC's thought upon entry, all jokes. PlzZz don't get offended and report me)

Chill spot with a rustic...","[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1400', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
9,6oH3qLZrBEeSp35ols195g,the-deep-end-queens,The Deep End,https://s3-media2.fl.yelpcdn.com/bphoto/CcHiTCi6fk_ocfrWxw17rA/o.jpg,False,https://www.yelp.com/biz/the-deep-end-queens?adjust_creative=uHws5GtfJ-njosj51tFYAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=uHws5GtfJ-njosj51tFYAA,36,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 40.6944210364308, 'longitude': -73.9022258678353}","['pickup', 'delivery']",$$,"{'address1': '1080 Wyckoff Ave', 'address2': None, 'address3': '', 'city': 'Queens', 'zip_code': '11385', 'country': 'US', 'state': 'NY', 'display_address': ['1080 Wyckoff Ave', 'Queens, NY 11385']}",+13476894996,(347) 689-4996,1692.094287496107,Had brunch here twice and it is the gangs new brunch spot ! Not a ton fo seating but they always have enough seats! Sometimes the seats come with pokemon...,Bruh. So boom. I record a podcast with my homegirls every Wednesday night from 10 pm- 11:30 and afterward we head over to the deep end for them 50 cent...,"I love this place!! Great food, solid beer and cocktail lineup, friendly staff, fun ambience, awesome location. I've had a bunch of different meals there...","[{'open': [{'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 1}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 2}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 3}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 4}, {'is_overnight': True, 'start': '1800', 'end': '0400', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]"
